news_headline,news_article,news_category,full_text,clean_text
Women were abused every 30 seconds on Twitter in 2017: Study,"Women were abused every 30 seconds on Twitter in 2017, according to a study by Amnesty International and Element AI. Around 1.1 million abusive tweets were sent to women, including members of the US Congress, UK MPs and journalists. “Twitter is a place where racism, misogyny and homophobia are allowed to flourish basically unchecked,"" an Amnesty International spokesperson said.",technology,"Women were abused every 30 seconds on Twitter in 2017: Study. Women were abused every 30 seconds on Twitter in 2017, according to a study by Amnesty International and Element AI. Around 1.1 million abusive tweets were sent to women, including members of the US Congress, UK MPs and journalists. “Twitter is a place where racism, misogyny and homophobia are allowed to flourish basically unchecked,"" an Amnesty International spokesperson said.",woman abuse every second twitter study woman abuse every second twitter accord study amnesty international element ai around million abusive tweet send woman include member us congress uk mp journalist twitter place racism misogyny homophobia allow flourish basically unchecked amnesty international spokesperson say
AK-47 maker unveils drones that can detect ships 100 km away,"Russia's Kalashnikov, known for making AK-47 rifles, has revealed a pair of smart drones designed for surveillance of the country's assets in the Arctic. The two 'ZALA' drones have an automatic identification system that can detect a vessel at a distance of 100 km. It also has its own alternative navigation system for when GPS or Russia's GLONASS is unavailable.",technology,"AK-47 maker unveils drones that can detect ships 100 km away. Russia's Kalashnikov, known for making AK-47 rifles, has revealed a pair of smart drones designed for surveillance of the country's assets in the Arctic. The two 'ZALA' drones have an automatic identification system that can detect a vessel at a distance of 100 km. It also has its own alternative navigation system for when GPS or Russia's GLONASS is unavailable.",ak maker unveil drone detect ship km away russia kalashnikov know make ak rifle reveal pair smart drone design surveillance countrys asset arctic two zala drone automatic identification system detect vessel distance km also alternative navigation system gps russia glonass unavailable
"Facebook let technology giants access its users' data, chats: Report","Facebook reportedly gave tech giants like Microsoft, Yahoo and Amazon access to user data through partnerships with them that exempted them from privacy restrictions. Microsoft's Bing could see the names of the friends of all Facebook users without consent and music app Spotify could read users' private messages. Amazon could access users’ contact information and Yahoo could see users’ feeds.",technology,"Facebook let technology giants access its users' data, chats: Report. Facebook reportedly gave tech giants like Microsoft, Yahoo and Amazon access to user data through partnerships with them that exempted them from privacy restrictions. Microsoft's Bing could see the names of the friends of all Facebook users without consent and music app Spotify could read users' private messages. Amazon could access users’ contact information and Yahoo could see users’ feeds.",facebook let technology giant access user datum chat report facebook reportedly give tech giant like microsoft yahoo amazon access user datum partnership exempt privacy restriction microsoft bing could see name friend facebook user without consent music app spotify could read user private message amazon could access user contact information yahoo could see user feed
Google adds Flights feature to Assistant to predict delays,"Google on Monday announced it added a feature to its AI-based Assistant which predicts flight delays. The feature debuted on Google Flights in January 2018 to predict possibilities of delay if at least 85% of the results indicated the flight would get delayed. The feature will be available to all users globally in the next few weeks, Google said.",technology,"Google adds Flights feature to Assistant to predict delays. Google on Monday announced it added a feature to its AI-based Assistant which predicts flight delays. The feature debuted on Google Flights in January 2018 to predict possibilities of delay if at least 85% of the results indicated the flight would get delayed. The feature will be available to all users globally in the next few weeks, Google said.",google add flight feature assistant predict delay google monday announce add feature ai base assistant predict flight delay feature debut google flight january predict possibility delay least result indicate flight would get delay feature available user globally next week google say
 TikTok parent ByteDance sues China news site for defamation,"TikTok parent ByteDance has sued a Chinese news site for alleged defamation after it published an article accusing its Indian-language news app Helo of spreading fake news. The billion-dollar company said, ""by claiming that Chinese companies have influence over the Indian election” the article constituted ""insult and abuse"". Helo had reportedly posted a story incorrectly quoting a Congress leader.",technology," TikTok parent ByteDance sues China news site for defamation. TikTok parent ByteDance has sued a Chinese news site for alleged defamation after it published an article accusing its Indian-language news app Helo of spreading fake news. The billion-dollar company said, ""by claiming that Chinese companies have influence over the Indian election” the article constituted ""insult and abuse"". Helo had reportedly posted a story incorrectly quoting a Congress leader.",tiktok parent bytedance sue china news site defamation tiktok parent bytedance sue chinese news site alleged defamation publish article accuse indian language news app helo spread fake news billion dollar company say claim chinese company influence indian election article constitute insult abuse helo reportedly post story incorrectly quote congress leader
"Facebook collects user data from dating apps Tinder, Grindr: Report","
Facebook collected user data from apps like Tinder, Grindr, and OkCupid as per a report by German company Mobilsicher. The data reportedly included users' dating profiles and healthcare information and was collected via Facebook’s Software Development Kit that lets users log in to third-party apps with Facebook. The report said data could also be collected from users without Facebook accounts.


",technology,"Facebook collects user data from dating apps Tinder, Grindr: Report. 
Facebook collected user data from apps like Tinder, Grindr, and OkCupid as per a report by German company Mobilsicher. The data reportedly included users' dating profiles and healthcare information and was collected via Facebook’s Software Development Kit that lets users log in to third-party apps with Facebook. The report said data could also be collected from users without Facebook accounts.


",facebook collect user datum dating app tinder grindr report facebook collect user datum app like tinder grindr okcupid per report german company mobilsicher datum reportedly include user date profile healthcare information collect via facebook software development kit let user log third party app facebook report say datum could also collect user without facebook account
 3D-printed robotic hand which can play piano made,"Researchers at University of Cambridge have created a 3D-printed robotic hand which can play simple musical phrases on the piano. It was made using soft and rigid materials to replicate bones and ligaments of a human hand. ""We can extend this research to...achieve even more complex manipulation tasks: developing robots which can perform medical procedures,"" a researcher said.",technology," 3D-printed robotic hand which can play piano made. Researchers at University of Cambridge have created a 3D-printed robotic hand which can play simple musical phrases on the piano. It was made using soft and rigid materials to replicate bones and ligaments of a human hand. ""We can extend this research to...achieve even more complex manipulation tasks: developing robots which can perform medical procedures,"" a researcher said.",print robotic hand play piano make researcher university cambridge create print robotic hand play simple musical phrase piano make use soft rigid material replicate bone ligament human hand extend research achieve even complex manipulation task develop robot perform medical procedure researcher say
"Armstrong's Moon landing prototype shoe sells for $49,000","Late astronaut Neil Armstrong's prototype Apollo A7L lunar boot has been sold for nearly $49,000 by US-based RR Auction. The boot never went to the Moon but it's believed to be used in a different flight or as a backup. The boot is embroidered with 'Armstrong' on the inside and has a silver, gold and blue exterior.",technology,"Armstrong's Moon landing prototype shoe sells for $49,000. Late astronaut Neil Armstrong's prototype Apollo A7L lunar boot has been sold for nearly $49,000 by US-based RR Auction. The boot never went to the Moon but it's believed to be used in a different flight or as a backup. The boot is embroidered with 'Armstrong' on the inside and has a silver, gold and blue exterior.",armstrong moon landing prototype shoe sell late astronaut neil armstrong prototype apollo al lunar boot sell nearly us base rr auction boot never go moon believe use different flight backup boot embroider armstrong inside silver gold blue exterior
Facebook to verify Indian political ads via offline process,"Facebook will verify the details of Indian advertisers wanting to run political ads on the platform through an offline process ahead of the 2019 Lok Sabha elections. It had also mailed individual advertisers and agencies asking them to provide scanned copies of address and identify proofs. Advertisers will also be visited by Facebook's India-based team, the platform further said.",technology,"Facebook to verify Indian political ads via offline process. Facebook will verify the details of Indian advertisers wanting to run political ads on the platform through an offline process ahead of the 2019 Lok Sabha elections. It had also mailed individual advertisers and agencies asking them to provide scanned copies of address and identify proofs. Advertisers will also be visited by Facebook's India-based team, the platform further said.",facebook verify indian political ad via offline process facebook verify detail indian advertiser want run political ad platform offline process ahead lok sabha election also mail individual advertiser agency ask provide scan copy address identify proof advertiser also visit facebook india base team platform say
Android Co-founder backed AI security cam startup shuts down,"Android Co-founder Andy Rubin backed AI-powered smart security camera startup Lighthouse has shut down its operations. ""We did not achieve the commercial success we were looking for,"" CEO Alex Teichman said, asking customers to check their email for refund process details. The startup was to reportedly ship the device by September 2017 but hadn't done so until February 2018.",technology,"Android Co-founder backed AI security cam startup shuts down. Android Co-founder Andy Rubin backed AI-powered smart security camera startup Lighthouse has shut down its operations. ""We did not achieve the commercial success we were looking for,"" CEO Alex Teichman said, asking customers to check their email for refund process details. The startup was to reportedly ship the device by September 2017 but hadn't done so until February 2018.",android co founder back ai security cam startup shut android co founder andy rubin back ai power smart security camera startup lighthouse shut operation not achieve commercial success look ceo alex teichman say ask customer check email refund process detail startup reportedly ship device september not february
Uber to resume self-driving car tests on public roads in US,"Uber has received approval to resume self-driving car testing on public roads in Pennsylvania, US. Uber would resume testing with two employees in the front seat, enable an automatic braking system at all times, and more strictly monitor safety of employees. This comes nine months after an Uber self-driving car killed a pedestrian in Arizona and the program was suspended.",technology,"Uber to resume self-driving car tests on public roads in US. Uber has received approval to resume self-driving car testing on public roads in Pennsylvania, US. Uber would resume testing with two employees in the front seat, enable an automatic braking system at all times, and more strictly monitor safety of employees. This comes nine months after an Uber self-driving car killed a pedestrian in Arizona and the program was suspended.",uber resume self drive car test public road us uber receive approval resume self drive car testing public road pennsylvania us uber would resume test two employee front seat enable automatic brake system time strictly monitor safety employee come nine month uber self drive car kill pedestrian arizona program suspend
"Facebook Messenger rolls out selfie, video-looping feature","Social media giant Facebook's messaging platform Messenger on Monday announced there are now five modes to its camera, including video-looping effect 'Boomerang' and a 'Selfie' mode. Messenger has also added a software-based effect to blur the background in images taken from its selfie camera. The platform also announced new holiday effects and stickers based on augmented reality.",technology,"Facebook Messenger rolls out selfie, video-looping feature. Social media giant Facebook's messaging platform Messenger on Monday announced there are now five modes to its camera, including video-looping effect 'Boomerang' and a 'Selfie' mode. Messenger has also added a software-based effect to blur the background in images taken from its selfie camera. The platform also announced new holiday effects and stickers based on augmented reality.",facebook messenger roll selfie video loop feature social media giant facebook message platform messenger monday announce five mode camera include video loop effect boomerang selfie mode messenger also add software base effect blur background image take selfie camera platform also announce new holiday effect sticker base augment reality
Washington DC sues FB over Cambridge Analytica data scandal,"US capital Washington DC has sued Facebook over the Cambridge Analytica data scandal which had surfaced in March 2018. “Facebook failed to protect the privacy of its users and deceived them,” an official statement read. The lawsuit alleges the social media giant allowed the British firm to exploit data of around 70 million users to influence the 2016 US elections.",technology,"Washington DC sues FB over Cambridge Analytica data scandal. US capital Washington DC has sued Facebook over the Cambridge Analytica data scandal which had surfaced in March 2018. “Facebook failed to protect the privacy of its users and deceived them,” an official statement read. The lawsuit alleges the social media giant allowed the British firm to exploit data of around 70 million users to influence the 2016 US elections.",washington dc sue fb cambridge analytica datum scandal us capital washington dc sue facebook cambridge analytica datum scandal surface march facebook fail protect privacy user deceive official statement read lawsuit allege social media giant allow british firm exploit datum around million user influence us election
"No settlement talks among Qualcomm, Foxconn in Apple dispute","Apple’s group of contract manufacturers including Foxconn are not in settlement talks with Qualcomm in the Apple dispute, according to the group’s lead attorney. Qualcomm had sued the group last year over alleged non-payment of patent royalties related to Apple products. The group had then countersued Qualcomm for $9 billion over alleged illegal patent royalties. ",technology,"No settlement talks among Qualcomm, Foxconn in Apple dispute. Apple’s group of contract manufacturers including Foxconn are not in settlement talks with Qualcomm in the Apple dispute, according to the group’s lead attorney. Qualcomm had sued the group last year over alleged non-payment of patent royalties related to Apple products. The group had then countersued Qualcomm for $9 billion over alleged illegal patent royalties. ",no settlement talk among qualcomm foxconn apple dispute apple group contract manufacturer include foxconn not settlement talk qualcomm apple dispute accord group lead attorney qualcomm sue group last year allege non payment patent royalty relate apple product group countersu qualcomm billion allege illegal patent royalty
Indoor sports training startup Zwift raises $120 million,"US-based indoor sports training startup Zwift has raised $120 million in a Series B funding round led by Highland Europe, to aid expansion in esports. Europe’s True, Causeway Media and Novator Partners also participated in the funding round. “In 2018, more than one-third of the Tour de France peloton were Zwifters,” Co-founder and CEO of Zwift Eric Min said.",technology,"Indoor sports training startup Zwift raises $120 million. US-based indoor sports training startup Zwift has raised $120 million in a Series B funding round led by Highland Europe, to aid expansion in esports. Europe’s True, Causeway Media and Novator Partners also participated in the funding round. “In 2018, more than one-third of the Tour de France peloton were Zwifters,” Co-founder and CEO of Zwift Eric Min said.",indoor sport training startup zwift raise million us base indoor sport training startup zwift raise million series b funding round lead highland europe aid expansion esport europe true causeway medium novator partner also participate funding round one third tour de france peloton zwifter co founder ceo zwift eric min say
"Who is 16-year-old Prayas Barman, the youngest crorepati in IPL?","Bengal's 16-year-old leg-spinner Prayas Ray Barman became the youngest crorepati in IPL after being bought by RCB for ₹1.5 crore on Tuesday. The 6-foot-1-inch tall bowler made his professional cricket debut for Bengal in September, taking 11 wickets in nine Vijay Hazare Trophy matches at an economy rate of 4.45. The youngster grew up in Delhi where his father works.",sports,"Who is 16-year-old Prayas Barman, the youngest crorepati in IPL?. Bengal's 16-year-old leg-spinner Prayas Ray Barman became the youngest crorepati in IPL after being bought by RCB for ₹1.5 crore on Tuesday. The 6-foot-1-inch tall bowler made his professional cricket debut for Bengal in September, taking 11 wickets in nine Vijay Hazare Trophy matches at an economy rate of 4.45. The youngster grew up in Delhi where his father works.",year old prayas barman young crorepati ipl bengal year old leg spinner prayas ray barman become young crorepati ipl buy rcb crore tuesday footinch tall bowler make professional cricket debut bengal september take wicket nine vijay hazare trophy match economy rate youngster grow delhi father work
I had thought of sending a text about Lyon to Virat Kohli: Ganguly,"Ex-India captain Sourav Ganguly has said he had thought of sending a text to captain Virat Kohli to tell him India shouldn't give so many wickets to spinners like Nathan Lyon outside the subcontinent. ""There's no doubt...Lyon's a great spinner but so were Warne, Muralitharan and Swann,"" he added. Ganguly further said that the Indian batsmen should attack Lyon more. ",sports,"I had thought of sending a text about Lyon to Virat Kohli: Ganguly. Ex-India captain Sourav Ganguly has said he had thought of sending a text to captain Virat Kohli to tell him India shouldn't give so many wickets to spinners like Nathan Lyon outside the subcontinent. ""There's no doubt...Lyon's a great spinner but so were Warne, Muralitharan and Swann,"" he added. Ganguly further said that the Indian batsmen should attack Lyon more. ",think send text lyon virat kohli ganguly ex india captain sourav ganguly say think send text captain virat kohli tell india not give many wicket spinner like nathan lyon outside subcontinent no doubt lyon great spinner warne muralitharan swann add ganguly say indian batsman attack lyon
Cricket needs passionate characters like Virat Kohli: Allan Border,"Former Australia captain Allan Border has defended India captain Virat Kohli's aggression, saying cricket needs characters like the Indian skipper who exude passion on the field. ""I haven't seen anyone sort of carry on so much as a captain when his side takes a wicket. It's really over the top but it's good in a way,"" Border added.",sports,"Cricket needs passionate characters like Virat Kohli: Allan Border. Former Australia captain Allan Border has defended India captain Virat Kohli's aggression, saying cricket needs characters like the Indian skipper who exude passion on the field. ""I haven't seen anyone sort of carry on so much as a captain when his side takes a wicket. It's really over the top but it's good in a way,"" Border added.",cricket need passionate character like virat kohli allan border former australia captain allan border defend india captain virat kohlis aggression say cricket need character like indian skipper exude passion field not see anyone sort carry much captain side take wicket really top good way border add
Selection error may have contributed to India's loss: Manjrekar,"Cricketer-turned-commentator Sanjay Manjrekar has said that selection error may have contributed to India's defeat against Australia in the Perth Test. ""India, I think, made an error in going with four seamers, specially with Umesh Yadav and not Bhuvneshwar Kumar,"" Manjrekar added. ""Jadeja could have been of more use than the fourth seamer,"" Manjrekar further said.",sports,"Selection error may have contributed to India's loss: Manjrekar. Cricketer-turned-commentator Sanjay Manjrekar has said that selection error may have contributed to India's defeat against Australia in the Perth Test. ""India, I think, made an error in going with four seamers, specially with Umesh Yadav and not Bhuvneshwar Kumar,"" Manjrekar added. ""Jadeja could have been of more use than the fourth seamer,"" Manjrekar further said.",selection error may contribute indias loss manjrekar cricketer turn commentator sanjay manjrekar say selection error may contribute indias defeat australia perth test india think make error go four seamer specially umesh yadav not bhuvneshwar kumar manjrekar add jadeja could use fourth seamer manjrekar say
"Kohli is disrespectful, Perth Test made him look silly: Johnson ","Former Australia fast bowler Mitchell Johnson described Team India captain Virat Kohli's behaviour as ""disrespectful"" and ""silly"" during the second Test against Australia at Perth. He further criticised Kohli for barely making any eye-contact with Australia captain Tim Paine after the match. ""Kohli gets away with more than most cricketers simply because he is Virat Kohli,"" Johnson added.",sports,"Kohli is disrespectful, Perth Test made him look silly: Johnson . Former Australia fast bowler Mitchell Johnson described Team India captain Virat Kohli's behaviour as ""disrespectful"" and ""silly"" during the second Test against Australia at Perth. He further criticised Kohli for barely making any eye-contact with Australia captain Tim Paine after the match. ""Kohli gets away with more than most cricketers simply because he is Virat Kohli,"" Johnson added.",kohli disrespectful perth test make look silly johnson former australia fast bowler mitchell johnson describe team india captain virat kohlis behaviour disrespectful silly second test australia perth criticise kohli barely make eye contact australia captain tim paine match kohli get away cricketer simply virat kohli johnson add
Umpire didn't need to get involved in Kohli-Paine spat: Ponting,"Ex-Australia captain Ricky Ponting has said umpire Chris Gaffaney didn't need to involve in the banter between India captain Virat Kohli and Australia captain Tim Paine in the second Test at Perth. ""It was a conversation, a bit of banter between the two captains and whatever we heard today has been pretty lighthearted and quite funny at times,"" Ponting added.",sports,"Umpire didn't need to get involved in Kohli-Paine spat: Ponting. Ex-Australia captain Ricky Ponting has said umpire Chris Gaffaney didn't need to involve in the banter between India captain Virat Kohli and Australia captain Tim Paine in the second Test at Perth. ""It was a conversation, a bit of banter between the two captains and whatever we heard today has been pretty lighthearted and quite funny at times,"" Ponting added.",umpire not need get involve kohli paine spit pont ex australia captain ricky pont say umpire chris gaffaney not need involve banter india captain virat kohli australia captain tim paine second test perth conversation bit banter two captain whatev hear today pretty lighthearted quite funny time pont add
Lyon reveals 'man-of-the-match jacket' tradition to honour Hughes,"Australia spinner Nathan Lyon has revealed Australian cricketers present a gold blazer in memory of late Phil Hughes to their best performer after a Test. The blazer is emblazoned with Hughes' Test number 408 and bears players' names and their performances' details. ""Whoever wears this...will wear it down to the bar...and look pretty special walking around in it,"" Lyon added.",sports,"Lyon reveals 'man-of-the-match jacket' tradition to honour Hughes. Australia spinner Nathan Lyon has revealed Australian cricketers present a gold blazer in memory of late Phil Hughes to their best performer after a Test. The blazer is emblazoned with Hughes' Test number 408 and bears players' names and their performances' details. ""Whoever wears this...will wear it down to the bar...and look pretty special walking around in it,"" Lyon added.",lyon reveal man match jacket tradition honour hughe australia spinner nathan lyon reveal australian cricketer present gold blazer memory late phil hughe good performer test blazer emblazon hughe test number bear player name performance detail whoever wear wear bar look pretty special walk around lyon add
"Assess Kohli, Shastri’s roles if India don’t win series: Gavaskar","Former Indian cricket team captain Sunil Gavaskar has said that the utility of Virat Kohli and Ravi Shastri as captain and coach must be assessed if India fail to win the next two Tests against Australia. Gavaskar also criticised the selection choices made by the team management, saying the team lost matches which it could've won with proper selection.",sports,"Assess Kohli, Shastri’s roles if India don’t win series: Gavaskar. Former Indian cricket team captain Sunil Gavaskar has said that the utility of Virat Kohli and Ravi Shastri as captain and coach must be assessed if India fail to win the next two Tests against Australia. Gavaskar also criticised the selection choices made by the team management, saying the team lost matches which it could've won with proper selection.",assess kohli shastris role india not win series gavaskar former indian cricket team captain sunil gavaskar say utility virat kohli ravi shastri captain coach must assess india fail win next two test australia gavaskar also criticise selection choice make team management say team lose match could win proper selection
"Kirsten, Gibbs, Powar to appear for India women’s coach interview","India's 2011 World Cup-winning coach Gary Kirsten, ex-South Africa cricketer Herschelle Gibbs and Ramesh Powar are among the shortlisted candidates, who will appear for interviews for the post of Indian women's cricket team coach on Thursday. Incumbent Pakistan Women head coach Mark Coles withdrew his application ahead of the interview. Venkatesh Prasad and Brad Hogg are also among the candidates.",sports,"Kirsten, Gibbs, Powar to appear for India women’s coach interview. India's 2011 World Cup-winning coach Gary Kirsten, ex-South Africa cricketer Herschelle Gibbs and Ramesh Powar are among the shortlisted candidates, who will appear for interviews for the post of Indian women's cricket team coach on Thursday. Incumbent Pakistan Women head coach Mark Coles withdrew his application ahead of the interview. Venkatesh Prasad and Brad Hogg are also among the candidates.",kirsten gibbs powar appear india women coach interview indias world cup win coach gary kirsten ex south africa cricketer herschelle gibbs ramesh powar among shortlist candidate appear interview post indian women cricket team coach thursday incumbent pakistan woman head coach mark cole withdraw application ahead interview venkatesh prasad brad hogg also among candidate
Steve Smith barred from playing in BPL after franchises object,"Australian cricketer Steve Smith, who is currently serving a one-year ban from international and Australian domestic cricket for his involvement in ball-tampering, has been barred from the upcoming edition of the Bangladesh Premier League (BPL). BPL franchises objected Smith's participating as he was picked by Comilla Victorians from outside the draft, which is against the laws of the tournament. ",sports,"Steve Smith barred from playing in BPL after franchises object. Australian cricketer Steve Smith, who is currently serving a one-year ban from international and Australian domestic cricket for his involvement in ball-tampering, has been barred from the upcoming edition of the Bangladesh Premier League (BPL). BPL franchises objected Smith's participating as he was picked by Comilla Victorians from outside the draft, which is against the laws of the tournament. ",steve smith bar play bpl franchise object australian cricketer steve smith currently serve one year ban international australian domestic cricket involvement ball tampering bar upcoming edition bangladesh premier league bpl bpl franchise object smith participate pick comilla victorian outside draft law tournament
